Threshold Value,Mobs Success Rate,Mobs Fail Rate,Average Participation Rate
10,99.99,0.01,35.45
20,99.08,0.92,35.53
30,81.54,18.46,35.59
40,26.92,73.08,35.44
50,1.76,98.24,35.65
60,0.02,99.98,35.46
70,0,100,35.41
80,0,100,35.37
90,0,100,35.54
100,0,100,35.34
