Threshold,Mob_Result,Act_Counter,Withdraw_Counter,Power_Exchange_Counter,Act_Against_Counter,Participation_Rate
10,Success,40,39,0,11,29
10,Success,51,26,0,11,40
10,Success,49,32,2,9,40
10,Success,38,28,9,19,19
10,Success,47,23,0,20,27
10,Success,47,35,0,11,36
10,Success,47,24,4,14,33
10,Success,46,34,0,13,33
10,Success,47,25,4,11,36
10,Success,45,35,0,10,35
10,Success,46,34,0,15,31
10,Success,48,31,0,9,39
10,Success,45,35,0,13,32
10,Success,56,19,0,15,41
10,Success,42,26,4,19,23
10,Success,51,20,2,14,37
10,Success,46,24,11,14,32
10,Success,48,24,1,14,34
10,Success,49,25,3,12,37
10,Success,45,38,0,7,38
10,Success,47,24,2,15,32
10,Success,45,26,9,12,33
10,Success,55,19,0,16,39
10,Success,49,23,4,13,36
10,Success,46,32,0,11,35
10,Success,49,29,2,12,37
10,Success,43,26,9,12,31
10,Success,52,26,0,10,42
10,Success,52,25,0,13,39
10,Success,44,34,0,12,32
10,Success,48,32,0,13,35
10,Success,52,28,0,10,42
10,Success,54,24,0,13,41
10,Success,49,34,0,6,43
10,Success,45,25,4,16,29
10,Success,54,24,2,11,43
10,Success,52,29,1,6,46
10,Success,52,26,0,16,36
10,Success,42,33,0,12,30
10,Success,42,22,16,12,30
10,Success,40,26,3,22,18
10,Success,53,23,5,11,42
10,Success,49,30,1,6,43
10,Success,50,27,1,12,38
10,Success,44,25,0,19,25
10,Success,44,19,8,14,30
10,Success,56,23,0,10,46
10,Success,44,33,2,13,31
10,Success,47,27,0,13,34
10,Success,37,23,11,23,14
10,Success,50,27,0,12,38
10,Success,42,32,0,14,28
10,Success,48,21,1,15,33
10,Success,51,27,5,9,42
10,Success,52,25,2,10,42
10,Success,43,22,12,15,28
10,Success,55,22,3,13,42
10,Success,39,33,0,17,22
10,Success,50,30,5,7,43
10,Success,45,31,4,9,36
10,Success,47,31,0,13,34
10,Success,55,30,0,6,49
10,Success,57,16,6,13,44
10,Success,48,23,1,13,35
10,Success,48,30,0,9,39
10,Success,46,22,6,17,29
10,Success,51,19,0,16,35
10,Success,49,29,0,14,35
10,Success,47,34,0,12,35
10,Success,55,25,0,11,44
10,Success,54,23,7,8,46
10,Success,53,20,1,14,39
10,Success,51,20,0,15,36
10,Success,55,21,2,11,44
10,Success,48,28,1,11,37
10,Success,45,33,0,15,30
10,Success,45,24,2,17,28
10,Success,48,25,2,11,37
10,Success,49,31,0,7,42
10,Success,52,19,7,12,40
10,Success,44,28,8,12,32
10,Success,49,22,7,15,34
10,Success,47,34,0,14,33
10,Success,49,28,6,8,41
10,Success,47,29,0,12,35
10,Success,51,28,0,12,39
10,Success,42,32,0,19,23
10,Success,51,25,5,9,42
10,Success,51,21,1,15,36
10,Success,43,33,0,17,26
10,Success,50,28,0,13,37
10,Success,51,25,1,10,41
10,Success,58,22,3,10,48
10,Success,48,28,0,12,36
10,Success,46,30,0,13,33
10,Success,49,29,0,7,42
10,Success,45,20,4,20,25
10,Success,54,28,2,5,49
10,Success,55,28,3,4,51
10,Success,53,28,1,9,44
10,Success,42,42,0,12,30
10,Success,40,34,6,13,27
10,Success,54,18,3,14,40
10,Success,52,21,0,12,40
10,Success,35,44,0,13,22
10,Success,48,31,0,10,38
10,Success,51,30,5,5,46
10,Success,46,33,0,12,34
10,Success,54,22,2,8,46
10,Success,51,21,2,12,39
10,Success,51,28,0,11,40
10,Success,52,24,2,15,37
10,Success,52,24,3,9,43
10,Success,36,28,4,22,14
10,Success,52,21,2,15,37
10,Success,50,27,3,10,40
10,Success,48,25,0,16,32
10,Success,53,23,2,13,40
10,Success,51,25,1,12,39
10,Success,46,30,0,14,32
10,Success,49,16,13,12,37
10,Success,43,27,6,9,34
10,Success,50,24,2,14,36
10,Success,50,27,0,11,39
10,Success,53,23,0,12,41
10,Success,50,24,0,14,36
10,Success,57,22,0,11,46
10,Success,50,24,8,9,41
10,Success,53,26,0,10,43
10,Success,41,33,0,13,28
10,Success,47,33,0,12,35
10,Success,40,32,0,16,24
10,Success,41,30,6,14,27
10,Success,52,19,0,18,34
10,Success,46,29,0,13,33
10,Success,50,24,0,15,35
10,Success,48,31,0,13,35
10,Success,48,30,0,8,40
10,Success,48,26,0,15,33
10,Success,43,35,0,12,31
10,Success,46,24,9,9,37
10,Success,50,21,3,14,36
10,Success,46,33,0,8,38
10,Success,36,27,6,22,14
10,Success,51,30,0,14,37
10,Success,44,28,1,16,28
10,Success,49,26,0,14,35
10,Success,53,23,2,14,39
10,Success,53,15,5,12,41
10,Success,51,25,3,9,42
10,Success,54,21,2,12,42
10,Success,46,34,0,10,36
10,Success,45,39,0,6,39
10,Success,40,35,0,12,28
10,Success,51,24,0,11,40
10,Success,42,25,7,18,24
10,Success,48,27,0,13,35
10,Success,53,28,0,14,39
10,Success,46,28,0,14,32
10,Success,40,33,0,17,23
10,Success,50,26,1,12,38
10,Success,51,21,0,19,32
10,Success,53,21,1,13,40
10,Success,49,27,0,12,37
10,Success,45,29,6,8,37
10,Success,43,35,0,12,31
10,Success,49,30,0,9,40
10,Success,45,27,0,19,26
10,Success,54,27,1,7,47
10,Success,53,23,2,9,44
10,Success,48,30,0,9,39
10,Success,52,22,0,16,36
10,Success,54,23,4,8,46
10,Success,56,21,1,13,43
10,Success,50,18,10,15,35
10,Success,43,32,0,10,33
10,Success,46,27,1,12,34
10,Success,59,22,0,8,51
10,Success,47,32,0,11,36
10,Success,54,17,4,11,43
10,Success,48,24,1,15,33
10,Success,49,29,7,7,42
10,Success,46,34,0,15,31
10,Success,44,31,0,17,27
10,Success,46,36,0,11,35
10,Success,44,27,7,14,30
10,Success,44,29,3,15,29
10,Success,49,24,0,14,35
10,Success,51,21,6,10,41
10,Success,54,26,0,8,46
10,Success,45,25,3,12,33
10,Success,48,22,1,14,34
10,Success,47,27,6,8,39
10,Success,55,23,3,7,48
10,Success,45,25,2,14,31
10,Success,50,24,1,14,36
10,Success,59,19,0,11,48
10,Success,46,29,4,11,35
10,Success,41,28,0,15,26
10,Success,56,20,0,13,43
10,Success,49,28,0,12,37
10,Success,50,23,0,12,38
10,Success,41,36,0,14,27
10,Success,45,24,3,13,32
10,Success,62,15,0,13,49
10,Success,45,24,0,21,24
10,Success,56,17,0,12,44
10,Success,53,18,9,10,43
10,Success,52,19,8,12,40
10,Success,48,26,0,14,34
10,Success,56,16,0,9,47
10,Success,52,29,0,8,44
10,Success,49,27,0,8,41
10,Success,58,21,0,8,50
10,Success,51,26,0,10,41
10,Success,53,19,0,12,41
10,Success,54,25,0,10,44
10,Success,48,33,0,12,36
10,Success,52,21,4,10,42
10,Success,43,32,0,15,28
10,Success,49,30,0,10,39
10,Success,43,34,0,16,27
10,Success,43,27,0,18,25
10,Success,45,24,1,18,27
10,Success,53,21,2,12,41
10,Success,42,26,9,12,30
10,Success,45,21,5,19,26
10,Success,40,29,1,18,22
10,Success,53,30,0,8,45
10,Success,41,24,9,16,25
10,Success,49,36,0,10,39
10,Success,45,33,0,14,31
10,Success,42,27,4,16,26
10,Success,51,22,5,13,38
10,Success,43,25,2,18,25
10,Success,53,17,2,19,34
10,Success,59,21,0,12,47
10,Success,43,26,7,16,27
10,Success,44,35,0,11,33
10,Success,49,18,7,16,33
10,Success,47,29,0,14,33
10,Success,46,33,0,10,36
10,Success,50,27,0,15,35
10,Success,48,31,0,12,36
10,Success,57,19,0,12,45
10,Success,43,36,0,14,29
10,Success,36,36,0,18,18
10,Success,47,21,5,17,30
10,Success,55,27,0,10,45
10,Success,50,25,0,12,38
10,Success,49,32,1,4,45
10,Success,45,36,0,11,34
10,Success,49,24,0,13,36
10,Success,43,33,0,10,33
10,Success,52,17,6,16,36
10,Success,50,26,3,11,39
10,Success,50,19,1,18,32
10,Success,49,26,1,9,40
10,Success,47,24,4,15,32
10,Success,48,25,5,12,36
10,Success,38,34,0,21,17
10,Success,44,23,13,11,33
10,Success,46,21,0,16,30
10,Success,43,22,8,16,27
10,Success,51,24,2,13,38
10,Success,48,34,0,8,40
10,Success,45,28,0,16,29
10,Success,42,37,0,11,31
10,Success,53,27,0,11,42
10,Success,47,28,0,13,34
10,Success,52,25,1,7,45
10,Success,49,28,0,16,33
10,Success,52,26,0,9,43
10,Success,42,35,0,13,29
10,Success,47,25,1,18,29
10,Success,49,28,0,12,37
10,Success,48,27,2,12,36
10,Success,45,34,0,8,37
10,Success,48,25,7,11,37
10,Success,51,28,0,13,38
10,Success,45,26,1,13,32
10,Success,44,27,0,19,25
10,Success,54,23,1,12,42
10,Success,47,30,0,10,37
10,Success,51,21,10,8,43
10,Success,39,31,11,12,27
10,Success,55,20,1,16,39
10,Success,48,27,1,12,36
10,Success,52,18,0,15,37
10,Success,47,29,4,11,36
10,Success,41,28,1,18,23
10,Success,43,41,0,9,34
10,Success,56,20,1,12,44
10,Success,48,23,3,12,36
10,Success,44,31,0,16,28
10,Success,62,13,0,12,50
10,Success,47,32,0,14,33
10,Success,55,23,1,9,46
10,Success,48,35,0,9,39
10,Success,46,19,4,19,27
10,Success,59,21,0,12,47
10,Success,49,35,0,6,43
10,Success,43,33,2,13,30
10,Success,44,26,5,15,29
10,Success,41,33,0,14,27
10,Success,49,27,0,12,37
10,Success,46,32,1,12,34
10,Success,46,31,0,13,33
10,Success,45,38,0,8,37
10,Success,51,28,0,12,39
10,Success,54,22,0,10,44
10,Success,42,42,0,9,33
10,Success,51,27,1,8,43
10,Success,48,33,0,12,36
10,Success,45,34,0,9,36
10,Success,44,37,0,13,31
10,Success,51,25,0,15,36
10,Success,50,29,0,11,39
10,Success,46,33,0,12,34
10,Success,43,32,3,12,31
10,Success,55,21,0,9,46
10,Success,45,29,2,11,34
10,Success,47,32,0,12,35
10,Success,43,31,0,15,28
10,Success,51,28,2,9,42
10,Success,44,25,0,19,25
10,Success,54,22,0,13,41
10,Success,51,27,1,11,40
10,Success,47,23,0,17,30
10,Success,50,27,0,9,41
10,Success,48,28,3,13,35
10,Success,49,29,0,15,34
10,Success,52,23,0,12,40
10,Success,44,28,8,13,31
10,Success,44,29,0,18,26
10,Success,50,27,0,9,41
10,Success,58,22,0,9,49
10,Success,47,27,3,9,38
10,Success,53,21,0,15,38
10,Success,50,24,0,13,37
10,Success,51,20,14,10,41
10,Success,41,37,1,11,30
10,Success,44,26,3,14,30
10,Success,46,29,7,12,34
10,Success,46,37,0,10,36
10,Success,47,31,0,8,39
10,Success,58,20,2,11,47
10,Success,47,25,6,9,38
10,Success,45,29,0,13,32
10,Success,48,28,3,12,36
10,Success,54,26,0,7,47
10,Success,53,25,0,11,42
10,Success,52,19,8,11,41
10,Success,49,24,3,14,35
10,Success,49,28,1,14,35
10,Success,50,29,0,10,40
10,Success,38,35,4,16,22
10,Success,51,21,5,14,37
10,Success,42,31,2,21,21
10,Success,46,27,7,13,33
10,Success,56,23,0,8,48
10,Success,49,27,0,10,39
10,Success,47,25,0,16,31
10,Success,51,25,3,11,40
10,Success,46,23,6,16,30
10,Success,45,31,0,10,35
10,Success,53,27,0,7,46
10,Success,48,30,8,8,40
10,Success,48,31,0,10,38
10,Success,46,29,3,10,36
10,Success,44,31,0,11,33
10,Success,49,24,2,13,36
10,Success,46,32,0,16,30
10,Success,56,25,4,9,47
10,Success,52,23,3,12,40
10,Success,48,28,0,14,34
10,Success,55,17,6,11,44
10,Success,47,22,3,10,37
10,Success,47,27,5,10,37
10,Success,48,23,0,15,33
10,Success,49,29,0,10,39
10,Success,41,28,6,19,22
10,Success,58,22,0,14,44
10,Success,49,33,0,9,40
10,Success,54,31,1,4,50
10,Success,44,33,0,14,30
10,Success,44,31,8,8,36
10,Success,41,34,0,13,28
10,Success,47,25,2,17,30
10,Success,50,20,2,15,35
10,Success,51,27,0,8,43
10,Success,54,24,2,13,41
10,Success,43,26,0,15,28
10,Success,53,20,3,14,39
10,Success,46,24,6,16,30
10,Success,44,31,0,15,29
10,Success,50,29,0,9,41
10,Success,52,27,0,10,42
10,Success,53,30,0,7,46
10,Success,45,30,0,14,31
10,Success,45,30,1,11,34
10,Success,44,32,0,15,29
10,Success,51,21,0,14,37
10,Success,46,24,5,14,32
10,Success,56,25,0,8,48
10,Success,44,31,5,11,33
10,Success,47,25,7,14,33
10,Success,46,27,0,15,31
10,Success,45,26,4,11,34
10,Success,38,44,0,11,27
10,Success,42,33,2,13,29
10,Success,47,31,2,7,40
10,Success,52,25,0,11,41
10,Success,54,22,0,14,40
10,Success,47,34,0,11,36
10,Success,51,23,0,14,37
10,Success,52,25,6,11,41
10,Success,49,30,3,6,43
10,Success,49,21,1,11,38
10,Success,49,27,0,15,34
10,Success,50,25,0,13,37
10,Success,48,21,0,19,29
10,Success,43,41,0,10,33
10,Success,47,24,0,18,29
10,Success,42,38,0,12,30
10,Success,50,16,9,16,34
10,Success,49,31,0,12,37
10,Success,41,25,4,20,21
10,Success,44,36,0,12,32
10,Success,43,28,4,13,30
10,Success,47,30,0,16,31
10,Success,41,34,0,20,21
10,Success,41,27,10,14,27
10,Success,50,28,1,14,36
10,Success,53,22,2,11,42
10,Success,57,20,1,11,46
10,Success,53,27,0,10,43
10,Success,51,24,3,11,40
10,Success,48,22,3,15,33
10,Success,51,25,2,11,40
10,Success,52,23,0,13,39
10,Success,49,23,3,12,37
10,Success,46,34,0,8,38
10,Success,52,32,0,10,42
10,Success,49,31,0,11,38
10,Success,45,24,4,15,30
10,Success,57,21,3,6,51
10,Success,40,36,0,13,27
10,Success,47,34,0,10,37
10,Success,50,31,0,11,39
10,Success,49,28,0,13,36
10,Success,44,27,7,15,29
10,Success,50,19,6,15,35
10,Success,50,26,3,12,38
10,Success,41,33,5,10,31
10,Success,50,25,4,10,40
10,Success,59,28,0,9,50
10,Success,46,35,0,7,39
10,Success,52,20,0,13,39
10,Success,51,24,0,11,40
10,Success,46,28,0,17,29
10,Success,47,25,0,16,31
10,Success,49,24,3,11,38
10,Success,49,24,2,13,36
10,Success,45,27,11,11,34
10,Success,49,31,0,10,39
10,Success,44,29,6,13,31
10,Success,44,33,0,12,32
10,Success,51,24,1,12,39
10,Success,50,33,0,9,41
10,Success,48,33,0,13,35
10,Success,39,37,0,13,26
10,Success,41,40,0,14,27
10,Success,45,28,0,15,30
10,Success,51,22,4,10,41
10,Success,52,15,8,12,40
10,Success,51,24,0,14,37
10,Success,46,30,3,12,34
10,Success,50,23,6,12,38
10,Success,48,21,0,20,28
10,Success,50,24,0,13,37
10,Success,50,25,1,14,36
10,Success,55,18,6,10,45
10,Success,49,32,0,12,37
10,Success,49,30,0,10,39
10,Success,44,28,8,11,33
10,Success,44,31,0,15,29
10,Success,50,27,0,13,37
10,Success,46,32,0,12,34
10,Success,53,20,4,10,43
10,Success,47,33,0,11,36
10,Success,47,29,2,9,38
10,Success,56,27,0,7,49
10,Success,49,26,0,13,36
10,Success,51,29,0,10,41
10,Success,54,21,0,14,40
10,Success,44,32,0,15,29
10,Success,46,28,2,14,32
10,Success,47,26,6,14,33
10,Success,43,27,0,18,25
10,Success,46,26,0,17,29
