Threshold,Mob_Result,Num_Powerful_Actors,Act_Counter,Withdraw_Counter,Power_Exchange_Counter,Act_Against_Counter,Participation_Rate
10.0,Success,0,48,26,0,13,35.0
10.0,Success,0,50,32,0,8,42.0
10.0,Success,0,36,34,0,20,16.0
10.0,Success,0,44,30,0,13,31.0
10.0,Success,0,59,17,1,10,49.0
10.0,Success,0,49,30,0,12,37.0
10.0,Success,0,45,28,0,11,34.0
10.0,Success,0,50,20,9,13,37.0
10.0,Success,0,42,36,0,13,28.999999999999996
10.0,Success,0,47,25,4,16,31.0
10.0,Success,0,43,34,0,15,28.000000000000004
10.0,Success,0,39,27,7,18,21.0
10.0,Success,0,53,22,7,9,44.0
10.0,Success,0,34,39,8,12,22.0
10.0,Success,0,39,32,3,16,23.0
10.0,Success,0,44,36,1,10,34.0
10.0,Success,0,45,29,0,16,28.999999999999996
10.0,Success,0,48,29,1,8,40.0
10.0,Success,0,46,30,2,8,38.0
10.0,Success,0,45,27,4,18,27.0
10.0,Success,0,47,33,0,13,34.0
10.0,Success,0,48,26,1,12,36.0
10.0,Success,0,48,27,2,14,34.0
10.0,Success,0,43,33,0,14,28.999999999999996
10.0,Success,0,51,24,6,13,38.0
10.0,Success,0,46,21,4,19,27.0
10.0,Success,0,44,34,0,12,32.0
10.0,Success,0,47,23,5,12,35.0
10.0,Success,0,47,32,0,12,35.0
10.0,Success,0,42,29,7,13,28.999999999999996
10.0,Success,0,52,24,2,10,42.0
10.0,Success,0,50,28,0,12,38.0
10.0,Success,0,46,22,8,17,28.999999999999996
10.0,Success,0,44,31,0,17,27.0
10.0,Success,0,49,27,6,9,40.0
10.0,Success,0,44,33,0,14,30.0
10.0,Success,0,52,24,0,13,39.0
10.0,Success,0,45,33,0,12,33.0
10.0,Success,0,49,26,0,18,31.0
10.0,Success,0,52,21,4,13,39.0
10.0,Success,0,60,19,0,13,47.0
10.0,Success,0,51,28,0,12,39.0
10.0,Success,0,45,38,0,11,34.0
10.0,Success,0,53,27,0,6,47.0
10.0,Success,0,50,24,0,15,35.0
10.0,Success,0,50,23,0,16,34.0
10.0,Success,0,40,30,9,15,25.0
10.0,Success,0,45,36,0,8,37.0
10.0,Success,0,54,20,1,11,43.0
10.0,Success,0,41,40,0,14,27.0
10.0,Success,0,45,30,0,13,32.0
10.0,Success,0,49,33,0,10,39.0
10.0,Success,0,42,28,9,13,28.999999999999996
10.0,Success,0,52,28,2,7,45.0
10.0,Success,0,37,33,8,14,23.0
10.0,Success,0,47,29,0,13,34.0
10.0,Success,0,52,24,1,12,40.0
10.0,Success,0,52,24,4,9,43.0
10.0,Success,0,46,26,0,14,32.0
10.0,Success,0,45,28,4,14,31.0
10.0,Success,0,50,20,0,19,31.0
10.0,Success,0,50,28,0,9,41.0
10.0,Success,0,48,28,2,12,36.0
10.0,Success,0,49,32,0,12,37.0
10.0,Success,0,40,39,0,11,28.999999999999996
10.0,Success,0,51,26,0,11,40.0
10.0,Success,0,49,32,2,9,40.0
10.0,Success,0,38,28,9,19,19.0
10.0,Success,0,47,23,0,20,27.0
10.0,Success,0,47,35,0,11,36.0
10.0,Success,0,47,24,4,14,33.0
10.0,Success,0,46,34,0,13,33.0
10.0,Success,0,47,25,4,11,36.0
10.0,Success,0,45,35,0,10,35.0
10.0,Success,0,46,34,0,15,31.0
10.0,Success,0,48,31,0,9,39.0
10.0,Success,0,45,35,0,13,32.0
10.0,Success,0,56,19,0,15,41.0
10.0,Success,0,42,26,4,19,23.0
10.0,Success,0,51,20,2,14,37.0
10.0,Success,0,46,24,11,14,32.0
10.0,Success,0,48,24,1,14,34.0
10.0,Success,0,49,25,3,12,37.0
10.0,Success,0,45,38,0,7,38.0
10.0,Success,0,47,24,2,15,32.0
10.0,Success,0,45,26,9,12,33.0
10.0,Success,0,55,19,0,16,39.0
10.0,Success,0,49,23,4,13,36.0
10.0,Success,0,46,32,0,11,35.0
10.0,Success,0,49,29,2,12,37.0
10.0,Success,0,43,26,9,12,31.0
10.0,Success,0,52,26,0,10,42.0
10.0,Success,0,52,25,0,13,39.0
10.0,Success,0,44,34,0,12,32.0
10.0,Success,0,48,32,0,13,35.0
10.0,Success,0,52,28,0,10,42.0
10.0,Success,0,54,24,0,13,41.0
10.0,Success,0,49,34,0,6,43.0
10.0,Success,0,45,25,4,16,28.999999999999996
10.0,Success,0,54,24,2,11,43.0
10.0,Success,0,52,29,1,6,46.0
10.0,Success,0,52,26,0,16,36.0
10.0,Success,0,42,33,0,12,30.0
10.0,Success,0,42,22,16,12,30.0
10.0,Success,0,40,26,3,22,18.0
10.0,Success,0,53,23,5,11,42.0
10.0,Success,0,49,30,1,6,43.0
10.0,Success,0,50,27,1,12,38.0
10.0,Success,0,44,25,0,19,25.0
10.0,Success,0,44,19,8,14,30.0
10.0,Success,0,56,23,0,10,46.0
10.0,Success,0,44,33,2,13,31.0
10.0,Success,0,47,27,0,13,34.0
10.0,Success,0,37,23,11,23,14.000000000000002
10.0,Success,0,50,27,0,12,38.0
10.0,Success,0,42,32,0,14,28.000000000000004
10.0,Success,0,48,21,1,15,33.0
10.0,Success,0,51,27,5,9,42.0
10.0,Success,0,52,25,2,10,42.0
10.0,Success,0,43,22,12,15,28.000000000000004
10.0,Success,0,55,22,3,13,42.0
10.0,Success,0,39,33,0,17,22.0
10.0,Success,0,50,30,5,7,43.0
10.0,Success,0,45,31,4,9,36.0
10.0,Success,0,47,31,0,13,34.0
10.0,Success,0,55,30,0,6,49.0
10.0,Success,0,57,16,6,13,44.0
10.0,Success,0,48,23,1,13,35.0
10.0,Success,0,48,30,0,9,39.0
10.0,Success,0,46,22,6,17,28.999999999999996
10.0,Success,0,51,19,0,16,35.0
10.0,Success,0,49,29,0,14,35.0
10.0,Success,0,47,34,0,12,35.0
10.0,Success,0,55,25,0,11,44.0
10.0,Success,0,54,23,7,8,46.0
10.0,Success,0,53,20,1,14,39.0
10.0,Success,0,51,20,0,15,36.0
10.0,Success,0,55,21,2,11,44.0
10.0,Success,0,48,28,1,11,37.0
10.0,Success,0,45,33,0,15,30.0
10.0,Success,0,45,24,2,17,28.000000000000004
10.0,Success,0,48,25,2,11,37.0
10.0,Success,0,49,31,0,7,42.0
10.0,Success,0,52,19,7,12,40.0
10.0,Success,0,44,28,8,12,32.0
10.0,Success,0,49,22,7,15,34.0
10.0,Success,0,47,34,0,14,33.0
10.0,Success,0,49,28,6,8,41.0
10.0,Success,0,47,29,0,12,35.0
10.0,Success,0,51,28,0,12,39.0
10.0,Success,0,42,32,0,19,23.0
10.0,Success,0,51,25,5,9,42.0
10.0,Success,0,51,21,1,15,36.0
10.0,Success,0,43,33,0,17,26.0
10.0,Success,0,50,28,0,13,37.0
10.0,Success,0,51,25,1,10,41.0
10.0,Success,0,58,22,3,10,48.0
10.0,Success,0,48,28,0,12,36.0
10.0,Success,0,46,30,0,13,33.0
10.0,Success,0,49,29,0,7,42.0
10.0,Success,0,45,20,4,20,25.0
10.0,Success,0,54,28,2,5,49.0
10.0,Success,0,55,28,3,4,51.0
10.0,Success,0,53,28,1,9,44.0
10.0,Success,0,42,42,0,12,30.0
10.0,Success,0,40,34,6,13,27.0
10.0,Success,0,54,18,3,14,40.0
10.0,Success,0,52,21,0,12,40.0
10.0,Success,0,35,44,0,13,22.0
10.0,Success,0,48,31,0,10,38.0
10.0,Success,0,51,30,5,5,46.0
10.0,Success,0,46,33,0,12,34.0
10.0,Success,0,54,22,2,8,46.0
10.0,Success,0,51,21,2,12,39.0
10.0,Success,0,51,28,0,11,40.0
10.0,Success,0,52,24,2,15,37.0
10.0,Success,0,52,24,3,9,43.0
10.0,Success,0,36,28,4,22,14.000000000000002
10.0,Success,0,52,21,2,15,37.0
10.0,Success,0,50,27,3,10,40.0
10.0,Success,0,48,25,0,16,32.0
10.0,Success,0,53,23,2,13,40.0
10.0,Success,0,51,25,1,12,39.0
10.0,Success,0,46,30,0,14,32.0
10.0,Success,0,49,16,13,12,37.0
10.0,Success,0,43,27,6,9,34.0
10.0,Success,0,50,24,2,14,36.0
10.0,Success,0,50,27,0,11,39.0
