Threshold,Mob_Result,Num_Powerful_Actors,Act_Counter,Withdraw_Counter,Power_Exchange_Counter,Act_Against_Counter,Participation_Rate
10.0,Success,0,57,28,0,6,56.99999999999999
10.0,Success,0,42,28,6,13,42.0
10.0,Success,0,46,26,6,14,46.0
10.0,Success,0,47,19,7,18,47.0
10.0,Success,0,52,20,1,15,52.0
10.0,Success,0,42,34,2,11,42.0
10.0,Success,0,48,27,0,10,48.0
10.0,Success,0,42,31,0,15,42.0
10.0,Success,0,52,21,8,9,52.0
10.0,Success,0,54,22,1,9,54.0
10.0,Success,0,47,32,0,13,47.0
10.0,Success,0,52,24,0,14,52.0
10.0,Success,0,41,38,0,11,41.0
10.0,Success,0,50,24,0,14,50.0
10.0,Success,0,45,33,0,12,45.0
10.0,Success,0,58,22,4,8,57.99999999999999
10.0,Success,0,42,25,0,22,42.0
10.0,Success,0,56,26,0,12,56.00000000000001
10.0,Success,0,57,20,0,11,56.99999999999999
10.0,Success,0,46,32,4,8,46.0
10.0,Success,0,49,37,0,9,49.0
10.0,Success,0,50,28,0,13,50.0
10.0,Success,0,48,26,0,16,48.0
10.0,Success,0,56,20,3,13,56.00000000000001
10.0,Success,0,46,24,0,16,46.0
10.0,Success,0,53,29,0,8,53.0
10.0,Success,0,45,38,0,9,45.0
10.0,Success,0,61,22,0,3,61.0
10.0,Success,0,45,29,3,11,45.0
10.0,Success,0,39,26,13,15,39.0
10.0,Success,0,53,23,3,10,53.0
10.0,Success,0,43,33,0,15,43.0
10.0,Success,0,49,32,0,9,49.0
10.0,Success,0,43,32,0,16,43.0
10.0,Success,0,40,35,0,14,40.0
10.0,Success,0,47,25,0,18,47.0
10.0,Success,0,51,26,0,14,51.0
10.0,Success,0,44,31,4,14,44.0
10.0,Success,0,39,39,4,10,39.0
10.0,Success,0,41,32,7,13,41.0
10.0,Success,0,49,25,4,13,49.0
10.0,Success,0,48,25,0,12,48.0
10.0,Success,0,53,21,0,16,53.0
10.0,Success,0,48,29,0,12,48.0
10.0,Success,0,46,22,10,12,46.0
10.0,Success,0,47,33,0,11,47.0
10.0,Success,0,51,28,0,11,51.0
10.0,Success,0,48,28,0,11,48.0
10.0,Success,0,45,29,0,14,45.0
10.0,Success,0,54,23,2,8,54.0
10.0,Success,0,45,25,8,16,45.0
10.0,Success,0,54,21,3,11,54.0
10.0,Success,0,46,26,1,17,46.0
10.0,Success,0,51,29,0,11,51.0
10.0,Success,0,59,23,0,9,59.0
10.0,Success,0,56,23,0,11,56.00000000000001
10.0,Success,0,46,22,8,11,46.0
10.0,Success,0,43,29,1,17,43.0
10.0,Success,0,51,26,0,10,51.0
10.0,Success,0,47,24,0,15,47.0
10.0,Success,0,47,35,0,10,47.0
10.0,Success,0,52,30,0,8,52.0
10.0,Success,0,41,36,2,13,41.0
10.0,Success,0,47,29,0,16,47.0
10.0,Success,0,39,42,0,12,39.0
10.0,Success,0,46,27,9,12,46.0
10.0,Success,0,49,27,0,15,49.0
10.0,Success,0,51,25,3,12,51.0
10.0,Success,0,39,35,0,16,39.0
10.0,Success,0,55,17,0,10,55.00000000000001
10.0,Success,0,54,23,0,13,54.0
10.0,Success,0,48,24,0,17,48.0
10.0,Success,0,45,35,0,10,45.0
10.0,Success,0,47,31,0,8,47.0
10.0,Success,0,51,26,1,11,51.0
10.0,Success,0,43,22,6,22,43.0
10.0,Success,0,50,24,0,12,50.0
10.0,Success,0,38,35,0,18,38.0
10.0,Success,0,54,22,0,17,54.0
10.0,Success,0,44,27,8,13,44.0
10.0,Success,0,45,29,2,15,45.0
10.0,Success,0,45,32,0,12,45.0
10.0,Success,0,41,28,4,15,41.0
10.0,Success,0,48,41,0,5,48.0
10.0,Success,0,45,28,1,15,45.0
10.0,Success,0,51,26,0,10,51.0
10.0,Success,0,46,26,2,13,46.0
10.0,Success,0,46,32,0,13,46.0
10.0,Success,0,54,27,0,9,54.0
10.0,Success,0,47,26,3,13,47.0
10.0,Success,0,46,23,7,12,46.0
10.0,Success,0,40,28,12,16,40.0
10.0,Success,0,44,39,0,10,44.0
10.0,Success,0,47,29,0,12,47.0
10.0,Success,0,45,36,0,8,45.0
10.0,Success,0,46,24,3,14,46.0
10.0,Success,0,50,29,0,14,50.0
10.0,Success,0,48,31,0,11,48.0
10.0,Success,0,44,29,5,16,44.0
10.0,Success,0,48,28,2,8,48.0
10.0,Success,0,50,27,4,9,50.0
10.0,Success,0,50,23,0,16,50.0
10.0,Success,0,50,28,0,9,50.0
10.0,Success,0,47,27,0,14,47.0
10.0,Success,0,47,28,5,12,47.0
10.0,Success,0,50,24,2,15,50.0
10.0,Success,0,54,23,4,8,54.0
10.0,Success,0,46,33,2,10,46.0
10.0,Success,0,45,34,0,13,45.0
10.0,Success,0,57,23,0,11,56.99999999999999
10.0,Success,0,50,29,0,12,50.0
10.0,Success,0,47,23,1,16,47.0
10.0,Success,0,44,31,0,14,44.0
10.0,Success,0,42,32,0,15,42.0
10.0,Success,0,50,28,0,9,50.0
10.0,Success,0,46,39,0,9,46.0
10.0,Success,0,48,28,0,13,48.0
10.0,Success,0,48,19,6,15,48.0
10.0,Success,0,57,20,4,7,56.99999999999999
10.0,Success,0,57,17,5,9,56.99999999999999
10.0,Success,0,57,21,0,9,56.99999999999999
10.0,Success,0,52,33,0,8,52.0
10.0,Success,0,46,27,0,14,46.0
10.0,Success,0,46,33,0,13,46.0
10.0,Success,0,51,25,1,10,51.0
10.0,Success,0,46,23,2,15,46.0
10.0,Success,0,44,37,0,9,44.0
10.0,Success,0,45,27,4,13,45.0
10.0,Success,0,52,20,3,14,52.0
10.0,Success,0,52,28,5,6,52.0
10.0,Success,0,53,23,0,10,53.0
10.0,Success,0,41,32,0,20,41.0
10.0,Success,0,49,22,2,14,49.0
10.0,Success,0,53,24,0,10,53.0
10.0,Success,0,46,33,0,11,46.0
