,mobID,MobParticipationRate,AvgMobbersTimeToSayYes,AvgMobbersTimeToSayNo,AvgMobbersTimeToRespond
mobID,1.0,-0.3313775901253139,-0.27821347936797836,-0.2718747251342638,-0.32245993238564774
MobParticipationRate,-0.3313775901253139,1.0,0.6754851514004996,0.6370376886401449,0.6723668639775108
AvgMobbersTimeToSayYes,-0.27821347936797836,0.6754851514004996,1.0,0.8613930411212419,0.9776780504882282
AvgMobbersTimeToSayNo,-0.2718747251342638,0.6370376886401449,0.8613930411212419,1.0,0.9021833396866981
AvgMobbersTimeToRespond,-0.32245993238564774,0.6723668639775108,0.9776780504882282,0.9021833396866981,1.0
