,mobID,MobParticipationRate,AvgMobbersTimeToSayYes,AvgMobbersTimeToSayNo,AvgMobbersTimeToRespond
mobID,0.0,3.167656612031235e-13,1.324392568876496e-09,3.205247078919291e-09,1.4454899270055546e-12
MobParticipationRate,3.167656612031235e-13,0.0,1.8803191283540063e-62,1.2793008562250286e-53,1.0974264097356117e-61
AvgMobbersTimeToSayYes,1.324392568876506e-09,1.8803191283540063e-62,0.0,1.5563159535122549e-136,8.67656263322e-312
AvgMobbersTimeToSayNo,3.205247078919291e-09,1.2793008562251378e-53,1.5563159535122549e-136,0.0,5.429161737972063e-169
AvgMobbersTimeToRespond,1.4454899270055546e-12,1.0974264097356117e-61,8.67656263322e-312,5.429161737972063e-169,0.0
