,Threshold,Act,Withdraw,Power_Exchange,Act_Against,Participation_Rate
Threshold,0.0,0.10812760380444407,0.5327654773470675,0.7100256537947454,0.13881002440682855,0.0647273054868058
Act,0.10812760380444407,0.0,0.0,0.0,0.0,0.0
Withdraw,0.5327654773470675,0.0,0.0,0.0,0.0,0.0
Power_Exchange,0.7100256537947454,0.0,0.0,0.0,5.464184093347304e-05,8.85385180285125e-283
Act_Against,0.13881002440682855,0.0,0.0,5.464184093347304e-05,0.0,0.0
Participation_Rate,0.0647273054868058,0.0,0.0,8.85385180285125e-283,0.0,0.0
