,Mobs Success Rate,Mobs Fail Rate,Number of Invited Participants,Average Needed Powerful Actors
Mobs Success Rate,0.0,0.0,2.2110644964380364e-09,2.448660984299854e-25
Mobs Fail Rate,0.0,0.0,2.211064496437991e-09,2.448660984298902e-25
Number of Invited Participants,2.2110644964380364e-09,2.211064496437991e-09,4.049406555015048e-201,1.0985773430992387e-08
Average Needed Powerful Actors,2.448660984299854e-25,2.448660984298902e-25,1.0985773430992387e-08,4.049406555015048e-201
