,Threshold,Act,Withdraw,Power_Exchange,Act_Against,Participation_Rate
Threshold,1.0,-0.0050807554701798275,0.00197262006724657,0.0011758175436566607,0.004680953090031923,-0.005841182862093034
Act,-0.0050807554701798275,1.0,-0.5127077183208243,-0.17329710145539434,-0.399316982888755,0.88941551021094
Withdraw,0.00197262006724657,-0.5127077183208243,1.0,-0.16915788871003803,-0.32003457614845454,-0.19437448167900384
Power_Exchange,0.0011758175436566607,-0.17329710145539434,-0.16915788871003803,1.0,-0.012758893017097216,-0.11327027338920818
Act_Against,0.004680953090031923,-0.399316982888755,-0.32003457614845454,-0.012758893017097216,1.0,-0.7742335471839331
Participation_Rate,-0.005841182862093034,0.88941551021094,-0.19437448167900384,-0.11327027338920818,-0.7742335471839331,1.0
