Threshold,Mob_Result,Num_Powerful_Actors,Act_Counter,Withdraw_Counter,Power_Exchange_Counter,Act_Against_Counter,Participation_Rate
50.0,Fail,0,5004,3698,53,1245,37.59
50.0,Fail,0,4962,3727,33,1278,36.84
50.0,Fail,0,4969,3787,0,1226,37.43
50.0,Fail,0,4992,3759,0,1208,37.84
50.0,Fail,0,4897,3782,0,1313,35.839999999999996
50.0,Fail,0,4942,3770,0,1232,37.1
50.0,Fail,0,5026,3718,9,1247,37.79
50.0,Fail,0,5016,3703,19,1262,37.54
50.0,Fail,0,4990,3719,6,1285,37.05
50.0,Fail,0,5028,3770,0,1182,38.46
50.0,Fail,0,4965,3774,0,1212,37.53
50.0,Fail,0,4994,3784,11,1211,37.830000000000005
50.0,Fail,0,4950,3726,21,1303,36.47
50.0,Fail,0,4978,3780,1,1241,37.37
50.0,Fail,0,5004,3676,25,1295,37.09
50.0,Fail,0,5018,3769,31,1182,38.36
50.0,Fail,0,4999,3682,0,1317,36.82
50.0,Fail,0,4927,3772,0,1281,36.46
50.0,Fail,0,4972,3752,81,1195,37.769999999999996
50.0,Fail,0,4913,3745,68,1274,36.39
50.0,Fail,0,4958,3751,25,1266,36.919999999999995
50.0,Fail,0,4930,3816,23,1231,36.99
50.0,Fail,0,4956,3738,26,1280,36.76
50.0,Fail,0,5007,3746,0,1236,37.71
50.0,Fail,0,4977,3741,0,1221,37.56
50.0,Fail,0,5007,3760,0,1210,37.97
50.0,Fail,0,5050,3729,0,1202,38.48
50.0,Fail,0,5008,3730,37,1225,37.830000000000005
50.0,Fail,0,5062,3732,0,1203,38.59
50.0,Fail,0,5011,3668,73,1248,37.63
50.0,Fail,0,5087,3681,0,1231,38.56
50.0,Fail,0,4958,3739,0,1295,36.63
50.0,Fail,0,5005,3782,0,1202,38.03
50.0,Fail,0,5021,3713,37,1229,37.92
50.0,Fail,0,4978,3737,0,1249,37.29
50.0,Fail,0,4976,3710,18,1296,36.8
50.0,Fail,0,4981,3744,30,1245,37.36
50.0,Fail,0,5026,3738,0,1208,38.18
50.0,Fail,0,5032,3686,0,1241,37.91
50.0,Fail,0,4934,3740,0,1252,36.82
50.0,Fail,0,4987,3683,61,1269,37.18
50.0,Fail,0,4909,3768,0,1269,36.4
50.0,Fail,0,5053,3718,0,1190,38.629999999999995
50.0,Fail,0,4947,3756,0,1233,37.14
50.0,Fail,0,5057,3680,0,1237,38.2
50.0,Fail,0,4892,3848,19,1241,36.51
50.0,Fail,0,4935,3822,21,1222,37.13
50.0,Fail,0,4959,3789,11,1241,37.18
50.0,Fail,0,5017,3714,40,1229,37.88
50.0,Fail,0,4986,3748,0,1253,37.330000000000005
50.0,Fail,0,4914,3726,90,1270,36.44
50.0,Fail,0,4948,3858,0,1184,37.64
50.0,Fail,0,4944,3748,36,1272,36.720000000000006
50.0,Fail,0,5055,3639,0,1261,37.940000000000005
50.0,Fail,0,5021,3718,0,1254,37.669999999999995
50.0,Fail,0,4958,3734,57,1251,37.07
50.0,Fail,0,4922,3776,25,1277,36.449999999999996
50.0,Fail,0,4989,3734,56,1221,37.68
50.0,Fail,0,4861,3833,0,1276,35.85
50.0,Fail,0,5055,3687,6,1252,38.03
50.0,Fail,0,4927,3702,0,1277,36.5
50.0,Fail,0,4995,3703,0,1261,37.34
50.0,Fail,0,5015,3721,0,1246,37.69
50.0,Fail,0,5015,3772,0,1213,38.019999999999996
50.0,Fail,0,4931,3793,32,1244,36.870000000000005
50.0,Fail,0,4910,3821,46,1223,36.870000000000005
50.0,Fail,0,4989,3737,0,1249,37.4
50.0,Fail,0,4973,3776,0,1247,37.26
50.0,Fail,0,5042,3648,22,1288,37.54
50.0,Fail,0,5019,3754,14,1213,38.06
50.0,Fail,0,4930,3787,24,1259,36.71
50.0,Fail,0,4986,3701,18,1295,36.91
50.0,Fail,0,4912,3837,0,1234,36.78
50.0,Fail,0,4876,3737,141,1246,36.3
50.0,Fail,0,5020,3728,0,1223,37.97
50.0,Fail,0,4980,3696,0,1235,37.45
50.0,Fail,0,4996,3651,0,1246,37.5
50.0,Fail,0,5058,3683,15,1244,38.14
50.0,Fail,0,4966,3772,0,1242,37.24
50.0,Fail,0,4997,3761,21,1221,37.76
50.0,Fail,0,5003,3721,24,1252,37.51
50.0,Fail,0,4993,3742,48,1217,37.76
50.0,Fail,0,4964,3734,39,1263,37.01
50.0,Fail,0,4980,3770,32,1218,37.62
50.0,Fail,0,5005,3747,0,1241,37.64
50.0,Fail,0,4973,3643,105,1279,36.94
50.0,Fail,0,5027,3743,0,1204,38.23
50.0,Fail,0,5029,3713,0,1256,37.730000000000004
50.0,Fail,0,4998,3809,0,1192,38.06
50.0,Fail,0,4882,3800,0,1291,35.91
50.0,Fail,0,4996,3745,0,1181,38.15
50.0,Fail,0,4992,3732,24,1252,37.4
50.0,Fail,0,5017,3711,0,1267,37.5
50.0,Fail,0,5085,3715,3,1197,38.879999999999995
50.0,Fail,0,4995,3734,0,1245,37.5
50.0,Fail,0,5005,3731,0,1260,37.45
50.0,Fail,0,5005,3695,0,1297,37.08
50.0,Fail,0,5004,3704,0,1258,37.46
50.0,Fail,0,4851,3826,52,1271,35.8
50.0,Fail,0,5107,3674,0,1205,39.019999999999996
