Threshold Value,Number Of Mobs Simulated,Mobs Success Rate,Mobs Fail Rate,Average Participation Rate,Overall Mob Result
42.86,100,30.0,70.0,38.19,Failed
40.48,100,29.0,71.0,35.79,Failed
40.0,100,47.0,53.0,36.15,Failed
35.0,100,62.0,38.0,37.3,Success
20.0,100,93.0,7.0,38.35,Success
30.0,100,79.0,21.0,37.75,Success
40.0,100,52.0,48.0,38.45,Failed
30.0,100,67.0,33.0,35.55,Success
27.779999999999998,100,66.0,34.0,35.5,Success
33.33,100,55.0,45.0,35.56,Success
35.0,100,67.0,33.0,39.6,Success
35.0,100,61.0,39.0,35.25,Success
40.0,100,45.0,55.0,35.5,Failed
0.67,100,100.0,0.0,37.25,Success
32.5,100,66.0,34.0,36.85,Success
50.0,100,19.0,81.0,35.15,Failed
93.33,100,0.0,100.0,35.47,Failed
40.0,100,40.0,60.0,35.43,Failed
33.33,100,67.0,33.0,37.0,Success
43.33,100,40.0,60.0,37.57,Failed
30.0,100,80.0,20.0,38.4,Success
20.0,100,94.0,6.0,36.63,Success
30.0,100,70.0,30.0,35.8,Success
30.0,100,78.0,22.0,37.8,Success
