eventId,numInvited,numEventOrganizers,ParticipationRate,eventOutcomeModel2
273365916,42,1,0.5000,1
273365974,80,2,0.2250,1
273366194,40,1,0.9750,1
274529324,80,1,0.3625,1
274584591,80,1,0.4125,1
274584613,80,3,0.2500,1
274584618,80,1,0.3750,1
275680027,80,1,0.3750,1
275680046,120,1,0.4583,1
275680221,120,1,0.4083,1
276673173,80,1,0.3375,1
276673326,80,1,0.4375,1
276788313,120,1,0.4167,1
276788338,120,1,0.3917,1
276788347,80,1,0.4375,1
278008965,80,1,0.4375,1
278008981,80,1,0.5000,1
278075041,12,1,0.4167,0
280143671,56,1,0.0179,0
280143677,48,1,0.0208,0
280143684,56,1,0.0179,0
280143687,56,1,0.0179,0
280647267,28,2,0.5000,1
280647616,25,3,0.6000,1
280648509,105,1,0.1905,1
280649542,90,1,0.2111,1
280673064,84,1,0.1905,1
280673184,40,1,0.5000,1
280800523,45,1,0.7556,1
280824515,20,2,0.6500,1
280824618,270,3,0.0519,1
281340494,180,1,0.0333,1
281345889,80,2,0.3500,1
281433546,15,1,0.1333,0
281477952,80,2,0.2375,0
281483680,570,1,0.0175,0
281863716,50000,1,0.0000,0
281877706,80,1,0.4250,1
281877743,80,1,0.4000,1
282375327,80,1,0.5000,1
282410926,18,1,0.6111,1
282607481,24,1,0.4167,1
282636035,80,1,0.2625,1
283024373,80,1,0.2250,1
283173560,80,1,0.2750,1
283193441,80,1,0.4625,1
283193450,80,1,0.4250,1
284352458,80,2,0.3625,1
284375493,80,3,0.2875,1
284730904,80,3,0.2250,1
284730914,80,3,0.4625,1
285364221,80,3,0.3125,1
285364237,80,3,0.4000,1
285364253,80,3,0.4250,1
285364363,80,3,0.2375,1
286746244,42,1,0.0238,0
286746245,42,1,0.0238,0
286746502,42,1,0.0238,0
286792311,42,1,0.0238,0
286796064,80,3,0.3625,1
286796113,80,3,0.2500,1
286796174,80,3,0.3625,1
286812385,42,1,0.0238,0
286813719,42,1,0.0238,0
286835197,42,1,0.0238,0
286836981,42,1,0.0238,0
286960272,42,1,0.0238,0
286961478,42,1,0.0238,0
286979856,42,1,0.0238,0
286981480,42,1,0.0238,0
287107499,42,1,0.0238,0
287127663,42,1,0.0238,0
287247700,42,1,0.0238,0
287268438,42,1,0.0238,0
287410140,42,1,0.0238,0
287410141,42,1,0.0238,0
287499745,60,1,0.8833,1
287533490,42,1,0.0238,0
287554707,35,1,0.0571,0
287559815,75,1,0.1467,1
287559833,20,1,0.4000,1
287559843,120,3,0.1083,1
287574858,168,3,0.1071,1
287574924,192,1,0.1354,1
287574936,120,1,0.2083,1
287680110,42,1,0.0238,0
287700908,42,1,0.0238,0
287809618,80,3,0.2250,1
287809650,80,3,0.2750,1
287810493,80,3,0.3750,1
287823177,42,1,0.0238,0
287843793,42,1,0.0238,0
287968120,42,1,0.0238,0
287989495,42,1,0.0238,0
288119117,42,1,0.0238,0
288141498,42,1,0.0238,0
288268497,42,1,0.0238,0
288289381,42,1,0.0238,0
288317543,120,1,0.1333,1
288417985,42,1,0.0238,0
288439543,42,1,0.0238,0
288565458,42,1,0.0238,0
288586263,42,1,0.0238,0
288665637,20,1,0.1500,0
288695811,60,1,0.0333,0
288698712,80,3,0.3000,1
288699418,80,3,0.2375,1
288699902,80,3,0.2750,1
288708174,220,1,0.0273,1
288713250,42,1,0.0238,0
288734404,42,1,0.0238,0
288775855,168,1,0.0179,1
288776133,162,1,0.0864,1
