Threshold,Mob_Result,Num_Powerful_Actors,Act_Counter,Withdraw_Counter,Power_Exchange_Counter,Act_Against_Counter,Participation_Rate
42.86,Success,2,20,16,0,2,47.61904761904761
42.86,Fail,2,16,13,0,7,26.190476190476193
42.86,Fail,2,15,16,0,7,23.809523809523807
42.86,Fail,2,21,11,0,6,40.476190476190474
42.86,Fail,2,21,11,0,5,42.857142857142854
42.86,Fail,2,18,8,9,5,35.714285714285715
42.86,Success,2,23,15,0,2,54.761904761904766
42.86,Fail,2,17,14,2,7,28.57142857142857
42.86,Success,2,22,7,0,5,45.23809523809524
42.86,Fail,2,18,15,0,5,35.714285714285715
42.86,Fail,2,16,12,0,10,19.047619047619047
42.86,Success,2,26,10,0,4,57.14285714285714
42.86,Fail,2,18,13,0,7,30.952380952380953
42.86,Success,2,20,15,2,3,45.23809523809524
42.86,Fail,2,19,13,1,7,33.33333333333333
42.86,Fail,2,21,7,0,5,42.857142857142854
42.86,Fail,2,17,16,0,6,30.952380952380953
42.86,Fail,2,20,12,0,7,35.714285714285715
42.86,Fail,2,18,12,4,6,33.33333333333333
42.86,Success,2,23,15,1,1,57.14285714285714
42.86,Success,2,22,12,0,4,47.61904761904761
42.86,Fail,2,17,9,6,8,26.190476190476193
42.86,Success,2,19,18,2,1,47.61904761904761
42.86,Success,2,23,11,2,4,50.0
42.86,Success,2,22,16,0,2,52.38095238095239
42.86,Fail,2,14,17,1,8,19.047619047619047
42.86,Fail,2,20,13,1,6,38.095238095238095
42.86,Fail,2,18,18,1,3,40.476190476190474
42.86,Fail,2,17,17,0,5,33.33333333333333
42.86,Success,2,24,10,0,6,47.61904761904761
42.86,Fail,2,18,13,3,6,33.33333333333333
42.86,Fail,2,17,8,3,12,16.666666666666664
42.86,Fail,2,16,17,5,2,38.095238095238095
42.86,Success,2,23,12,0,3,52.38095238095239
42.86,Fail,2,14,17,3,6,23.809523809523807
42.86,Fail,2,20,14,1,5,40.476190476190474
42.86,Fail,2,16,14,5,5,30.952380952380953
42.86,Fail,2,18,18,2,2,42.857142857142854
42.86,Fail,2,19,12,0,7,33.33333333333333
42.86,Fail,2,17,18,2,3,38.095238095238095
42.86,Success,2,20,14,4,2,47.61904761904761
42.86,Fail,2,20,13,0,6,38.095238095238095
42.86,Success,2,20,13,0,2,47.61904761904761
42.86,Success,2,21,14,0,4,45.23809523809524
42.86,Success,2,24,8,4,4,52.38095238095239
42.86,Success,2,23,11,0,4,50.0
42.86,Fail,2,18,12,0,7,30.952380952380953
42.86,Fail,2,20,11,5,4,42.857142857142854
42.86,Fail,2,18,16,0,3,40.476190476190474
42.86,Success,2,24,14,0,2,57.14285714285714
42.86,Fail,2,16,15,3,6,28.57142857142857
42.86,Fail,2,15,12,0,7,23.809523809523807
42.86,Fail,2,18,15,2,5,35.714285714285715
42.86,Fail,2,20,12,4,4,42.857142857142854
42.86,Fail,2,17,15,2,6,30.952380952380953
42.86,Fail,2,17,17,0,6,30.952380952380953
42.86,Fail,2,16,17,0,7,26.190476190476193
42.86,Fail,2,17,15,0,5,33.33333333333333
42.86,Fail,2,16,20,0,4,33.33333333333333
42.86,Fail,2,18,19,0,3,40.476190476190474
42.86,Fail,2,18,14,3,5,35.714285714285715
42.86,Fail,2,17,17,1,5,33.33333333333333
42.86,Fail,2,18,13,0,4,38.095238095238095
42.86,Fail,2,15,14,7,4,30.952380952380953
42.86,Success,2,19,15,0,2,45.23809523809524
42.86,Success,2,24,11,1,4,52.38095238095239
42.86,Success,2,24,11,0,3,54.761904761904766
42.86,Success,2,21,14,2,3,47.61904761904761
42.86,Fail,2,14,17,0,5,26.190476190476193
42.86,Fail,2,18,15,4,3,40.476190476190474
42.86,Fail,2,17,13,2,8,26.190476190476193
42.86,Success,2,22,15,0,3,50.0
42.86,Fail,2,20,12,3,5,40.476190476190474
42.86,Fail,2,21,12,2,5,42.857142857142854
42.86,Success,2,21,11,4,4,45.23809523809524
42.86,Fail,2,19,15,0,4,40.476190476190474
42.86,Success,2,23,14,0,1,57.14285714285714
42.86,Success,2,20,16,2,2,47.61904761904761
42.86,Fail,2,18,17,1,4,38.095238095238095
42.86,Fail,2,14,17,0,3,30.952380952380953
42.86,Fail,2,14,12,7,7,21.428571428571427
42.86,Fail,2,19,14,0,7,33.33333333333333
42.86,Fail,2,21,13,1,5,42.857142857142854
42.86,Fail,2,19,13,2,6,35.714285714285715
42.86,Success,2,21,11,0,4,45.23809523809524
42.86,Fail,2,16,16,2,6,28.57142857142857
42.86,Fail,2,21,13,0,5,42.857142857142854
42.86,Fail,2,16,13,3,8,23.809523809523807
42.86,Fail,2,21,12,0,5,42.857142857142854
42.86,Fail,2,19,16,0,5,38.095238095238095
42.86,Fail,2,20,12,0,8,33.33333333333333
42.86,Success,2,20,17,1,2,47.61904761904761
42.86,Success,2,22,12,0,4,47.61904761904761
42.86,Fail,2,20,13,2,5,40.476190476190474
42.86,Fail,2,18,16,4,2,42.857142857142854
42.86,Fail,2,14,13,5,8,19.047619047619047
42.86,Fail,2,13,14,5,8,16.666666666666664
42.86,Fail,2,12,17,6,5,21.428571428571427
42.86,Success,2,23,12,0,4,50.0
42.86,Fail,2,16,11,0,8,23.809523809523807
40.48,Fail,2,12,15,0,9,11.904761904761903
40.48,Fail,2,19,15,1,5,38.095238095238095
40.48,Fail,2,18,15,1,6,33.33333333333333
40.48,Success,2,25,11,0,4,54.761904761904766
40.48,Success,2,25,11,2,2,59.523809523809526
40.48,Success,2,24,11,0,3,54.761904761904766
40.48,Success,2,22,14,0,1,54.761904761904766
40.48,Fail,2,20,9,0,7,35.714285714285715
40.48,Success,2,22,15,0,2,52.38095238095239
40.48,Fail,2,13,16,4,7,19.047619047619047
40.48,Success,2,23,8,4,5,47.61904761904761
40.48,Fail,2,18,14,0,5,35.714285714285715
40.48,Fail,2,18,11,4,7,30.952380952380953
40.48,Fail,2,20,11,0,8,33.33333333333333
40.48,Fail,2,16,13,0,8,23.809523809523807
40.48,Fail,2,17,14,0,3,38.095238095238095
40.48,Fail,2,13,19,0,7,19.047619047619047
40.48,Fail,2,17,16,0,4,35.714285714285715
40.48,Fail,2,20,11,0,9,30.952380952380953
40.48,Success,2,21,9,6,4,45.23809523809524
40.48,Fail,2,18,9,0,7,30.952380952380953
40.48,Fail,2,20,10,0,10,28.57142857142857
40.48,Fail,2,16,19,1,4,33.33333333333333
40.48,Fail,2,18,13,0,9,26.190476190476193
40.48,Success,2,23,12,3,2,54.761904761904766
40.48,Fail,2,20,10,0,9,30.952380952380953
40.48,Fail,2,14,16,0,6,23.809523809523807
40.48,Fail,2,17,14,4,5,33.33333333333333
40.48,Fail,2,19,12,4,5,38.095238095238095
40.48,Fail,2,16,12,0,8,23.809523809523807
40.48,Fail,2,18,10,4,8,28.57142857142857
40.48,Fail,2,14,14,1,11,11.904761904761903
40.48,Success,2,20,14,2,4,42.857142857142854
40.48,Success,2,21,16,1,2,50.0
40.48,Fail,2,12,13,0,9,11.904761904761903
40.48,Success,2,20,16,0,4,42.857142857142854
40.48,Success,2,23,13,0,2,54.761904761904766
40.48,Fail,2,19,11,1,9,28.57142857142857
40.48,Fail,2,17,8,7,8,26.190476190476193
40.48,Fail,2,17,14,2,7,28.57142857142857
40.48,Success,2,20,16,0,4,42.857142857142854
40.48,Fail,2,17,13,0,6,30.952380952380953
40.48,Fail,2,17,13,0,4,35.714285714285715
40.48,Success,2,22,13,0,4,47.61904761904761
40.48,Fail,2,19,14,0,6,35.714285714285715
40.48,Success,2,21,13,0,4,45.23809523809524
40.48,Fail,2,19,13,4,4,40.476190476190474
40.48,Fail,2,16,17,0,5,30.952380952380953
40.48,Fail,2,14,13,0,7,21.428571428571427
40.48,Fail,2,18,12,0,4,38.095238095238095
40.48,Success,2,22,12,0,3,50.0
40.48,Success,2,21,14,1,4,45.23809523809524
