Threshold,Mob_Result,Num_Powerful_Actors,Act_Counter,Withdraw_Counter,Power_Exchange_Counter,Act_Against_Counter,Participation_Rate
40.48,Success,2,16,19,1,4,42.857142857142854
40.48,Success,2,19,15,0,5,50.0
40.48,Fail,2,15,17,0,8,40.476190476190474
40.48,Success,2,16,17,0,5,42.857142857142854
40.48,Fail,2,15,14,4,7,40.476190476190474
40.48,Success,2,21,15,0,4,54.761904761904766
40.48,Success,2,19,14,0,6,50.0
40.48,Success,2,18,13,6,3,47.61904761904761
40.48,Success,2,22,12,0,4,57.14285714285714
40.48,Success,2,18,13,0,7,47.61904761904761
40.48,Success,2,22,13,1,4,57.14285714285714
40.48,Success,2,23,13,1,3,59.523809523809526
40.48,Success,2,16,15,1,8,42.857142857142854
40.48,Success,2,22,13,0,5,57.14285714285714
40.48,Success,2,17,17,0,3,45.23809523809524
40.48,Success,2,20,11,4,5,52.38095238095239
40.48,Success,2,22,17,0,1,57.14285714285714
40.48,Success,2,20,17,0,2,52.38095238095239
40.48,Fail,2,12,21,0,3,33.33333333333333
40.48,Success,2,21,7,0,6,54.761904761904766
40.48,Success,2,16,16,0,3,42.857142857142854
40.48,Success,2,18,14,0,7,47.61904761904761
40.48,Success,2,17,16,0,4,45.23809523809524
40.48,Success,2,19,14,0,7,50.0
40.48,Success,2,20,9,0,5,52.38095238095239
40.48,Success,2,22,12,3,3,57.14285714285714
40.48,Success,2,18,15,0,6,47.61904761904761
40.48,Success,2,19,12,0,5,50.0
40.48,Success,2,22,12,0,5,57.14285714285714
40.48,Success,2,19,11,2,8,50.0
40.48,Success,2,17,16,1,6,45.23809523809524
40.48,Fail,2,15,22,0,3,40.476190476190474
40.48,Success,2,19,13,3,5,50.0
40.48,Success,2,18,17,1,4,47.61904761904761
40.48,Fail,2,15,18,1,6,40.476190476190474
40.48,Success,2,26,10,0,4,66.66666666666666
40.48,Success,2,23,15,0,1,59.523809523809526
40.48,Success,2,19,13,2,6,50.0
40.48,Fail,2,15,13,0,6,40.476190476190474
40.48,Success,2,20,10,0,8,52.38095238095239
40.48,Success,2,17,16,0,4,45.23809523809524
40.48,Success,2,17,20,1,2,45.23809523809524
40.48,Fail,2,14,17,0,8,38.095238095238095
40.48,Success,2,19,17,0,4,50.0
40.48,Success,2,18,12,0,7,47.61904761904761
40.48,Success,2,17,16,0,7,45.23809523809524
40.48,Success,2,16,13,0,3,42.857142857142854
40.48,Success,2,23,15,0,2,59.523809523809526
40.48,Success,2,21,11,0,7,54.761904761904766
40.48,Success,2,20,13,0,6,52.38095238095239
40.48,Success,2,19,9,0,6,50.0
40.48,Success,2,21,14,2,3,54.761904761904766
40.48,Success,2,16,19,0,4,42.857142857142854
40.48,Success,2,19,12,0,4,50.0
40.48,Success,2,17,18,0,4,45.23809523809524
40.48,Success,2,21,15,1,3,54.761904761904766
40.48,Success,2,18,15,0,3,47.61904761904761
40.48,Success,2,16,17,0,4,42.857142857142854
40.48,Success,2,19,12,1,8,50.0
40.48,Success,2,19,15,1,5,50.0
40.48,Fail,2,14,15,1,10,38.095238095238095
40.48,Success,2,18,9,3,10,47.61904761904761
40.48,Fail,2,15,17,0,8,40.476190476190474
40.48,Success,2,20,10,3,7,52.38095238095239
40.48,Success,2,20,12,2,6,52.38095238095239
40.48,Success,2,18,18,0,1,47.61904761904761
40.48,Success,2,20,13,0,3,52.38095238095239
40.48,Success,2,18,16,2,4,47.61904761904761
40.48,Success,2,21,13,2,4,54.761904761904766
40.48,Success,2,22,16,0,2,57.14285714285714
40.48,Success,2,23,14,1,2,59.523809523809526
40.48,Success,2,21,15,0,4,54.761904761904766
40.48,Success,2,18,12,4,6,47.61904761904761
40.0,Success,1,8,6,2,3,45.0
40.0,Success,1,9,7,0,3,50.0
40.0,Success,1,7,5,0,3,40.0
40.0,Success,1,10,4,1,4,55.00000000000001
40.0,Success,1,8,6,2,3,45.0
40.0,Success,1,8,8,0,2,45.0
40.0,Success,1,9,8,0,2,50.0
40.0,Success,1,14,3,0,2,75.0
40.0,Success,1,8,6,0,5,45.0
40.0,Success,1,12,5,0,2,65.0
40.0,Success,1,7,5,0,5,40.0
40.0,Success,1,8,6,0,2,45.0
40.0,Fail,1,5,6,5,3,30.0
40.0,Success,1,8,8,1,2,45.0
40.0,Success,1,10,4,2,3,55.00000000000001
40.0,Success,1,7,9,0,3,40.0
40.0,Success,1,7,8,0,3,40.0
40.0,Success,1,8,6,3,2,45.0
40.0,Success,1,10,7,1,1,55.00000000000001
40.0,Success,1,11,4,3,1,60.0
40.0,Success,1,10,3,0,2,55.00000000000001
40.0,Success,1,7,8,0,3,40.0
40.0,Success,1,7,6,5,1,40.0
40.0,Success,1,9,7,0,2,50.0
40.0,Success,1,11,3,0,1,60.0
40.0,Success,1,7,6,0,4,40.0
40.0,Success,1,9,7,0,3,50.0
40.0,Success,1,9,8,1,1,50.0
40.0,Fail,1,6,9,0,2,35.0
40.0,Fail,1,6,7,0,2,35.0
40.0,Success,1,10,4,0,3,55.00000000000001
40.0,Success,1,7,9,2,1,40.0
40.0,Success,1,8,7,0,4,45.0
40.0,Success,1,9,5,1,4,50.0
40.0,Success,1,9,7,2,1,50.0
40.0,Success,1,10,6,2,1,55.00000000000001
40.0,Success,1,10,6,0,3,55.00000000000001
40.0,Success,1,11,5,0,0,60.0
40.0,Success,1,7,7,2,3,40.0
40.0,Fail,1,6,6,0,2,35.0
40.0,Success,1,10,4,0,3,55.00000000000001
40.0,Success,1,7,7,1,4,40.0
40.0,Success,1,8,8,0,1,45.0
40.0,Success,1,10,8,0,0,55.00000000000001
40.0,Success,1,8,8,0,2,45.0
40.0,Success,1,11,5,1,2,60.0
40.0,Success,1,7,6,4,2,40.0
40.0,Success,1,8,3,0,5,45.0
40.0,Success,1,9,6,3,1,50.0
40.0,Success,1,9,5,0,2,50.0
40.0,Success,1,9,6,0,3,50.0
40.0,Success,1,9,9,0,1,50.0
40.0,Success,1,10,6,1,2,55.00000000000001
40.0,Success,1,11,6,2,0,60.0
40.0,Success,1,8,7,1,3,45.0
40.0,Fail,1,5,6,0,4,30.0
40.0,Success,1,8,5,4,2,45.0
40.0,Success,1,11,3,0,5,60.0
40.0,Success,1,9,8,0,2,50.0
40.0,Success,1,7,6,0,2,40.0
40.0,Success,1,7,6,0,5,40.0
40.0,Success,1,10,8,0,1,55.00000000000001
40.0,Fail,1,5,7,0,3,30.0
40.0,Success,1,9,3,3,4,50.0
40.0,Success,1,7,6,0,4,40.0
40.0,Fail,1,6,8,3,2,35.0
40.0,Fail,1,6,8,0,0,35.0
40.0,Fail,1,6,7,0,1,35.0
40.0,Success,1,7,5,3,4,40.0
40.0,Success,1,7,7,0,3,40.0
40.0,Fail,1,6,6,6,1,35.0
40.0,Success,1,9,8,0,0,50.0
40.0,Success,1,9,4,0,3,50.0
40.0,Success,1,11,6,2,0,60.0
40.0,Fail,1,6,3,0,4,35.0
40.0,Success,1,8,5,0,3,45.0
40.0,Fail,1,6,7,2,4,35.0
40.0,Fail,1,6,7,5,1,35.0
40.0,Success,1,9,6,0,2,50.0
40.0,Fail,1,6,8,0,5,35.0
40.0,Success,1,7,5,0,6,40.0
40.0,Success,1,10,3,4,2,55.00000000000001
40.0,Fail,1,5,10,0,2,30.0
40.0,Success,1,7,7,0,2,40.0
40.0,Success,1,7,5,1,6,40.0
40.0,Success,1,10,6,0,1,55.00000000000001
40.0,Success,1,8,7,1,3,45.0
40.0,Success,1,7,6,0,4,40.0
40.0,Success,1,8,7,0,4,45.0
40.0,Fail,1,5,7,1,6,30.0
40.0,Fail,1,5,6,2,6,30.0
40.0,Success,1,9,8,0,0,50.0
40.0,Success,1,10,6,1,2,55.00000000000001
40.0,Success,1,9,4,2,4,50.0
40.0,Success,1,10,9,0,0,55.00000000000001
40.0,Success,1,7,9,1,2,40.0
40.0,Success,1,7,8,2,2,40.0
40.0,Success,1,9,4,0,3,50.0
40.0,Success,1,13,6,0,0,70.0
40.0,Success,1,8,6,0,2,45.0
35.0,Success,1,9,4,0,4,50.0
35.0,Success,1,9,3,3,4,50.0
35.0,Success,1,12,4,0,3,65.0
35.0,Success,1,6,6,0,3,35.0
35.0,Success,1,9,7,0,2,50.0
35.0,Success,1,10,8,0,0,55.00000000000001
35.0,Success,1,10,6,1,2,55.00000000000001
35.0,Fail,1,5,7,5,2,30.0
35.0,Fail,1,3,8,0,2,20.0
35.0,Success,1,10,7,1,1,55.00000000000001
35.0,Success,1,12,5,0,2,65.0
35.0,Success,1,10,4,0,0,55.00000000000001
35.0,Success,1,8,9,0,1,45.0
35.0,Success,1,9,9,0,1,50.0
35.0,Success,1,9,7,0,1,50.0
35.0,Success,1,7,7,0,5,40.0
35.0,Success,1,8,5,3,3,45.0
35.0,Success,1,9,7,0,0,50.0
35.0,Success,1,6,8,3,2,35.0
35.0,Success,1,10,4,0,4,55.00000000000001
35.0,Success,1,7,7,3,2,40.0
35.0,Success,1,7,9,1,2,40.0
35.0,Success,1,8,8,0,2,45.0
35.0,Success,1,9,5,0,4,50.0
35.0,Success,1,11,6,0,1,60.0
35.0,Success,1,6,8,0,4,35.0
35.0,Fail,1,5,9,3,2,30.0
35.0,Success,1,11,5,2,1,60.0
35.0,Success,1,10,7,1,1,55.00000000000001
35.0,Success,1,10,6,1,2,55.00000000000001
35.0,Success,1,8,6,0,3,45.0
35.0,Fail,1,5,7,0,3,30.0
35.0,Success,1,8,6,0,4,45.0
35.0,Success,1,9,5,0,3,50.0
35.0,Success,1,11,4,4,0,60.0
35.0,Success,1,8,4,5,2,45.0
35.0,Success,1,10,3,0,4,55.00000000000001
35.0,Success,1,8,5,1,5,45.0
35.0,Success,1,7,6,0,4,40.0
35.0,Success,1,10,4,0,4,55.00000000000001
35.0,Success,1,9,6,2,2,50.0
35.0,Success,1,10,6,1,2,55.00000000000001
35.0,Success,1,9,10,0,0,50.0
35.0,Success,1,8,4,4,3,45.0
35.0,Success,1,8,5,0,3,45.0
35.0,Success,1,12,5,0,1,65.0
35.0,Success,1,9,4,0,1,50.0
35.0,Fail,1,4,9,3,3,25.0
35.0,Success,1,8,6,0,3,45.0
35.0,Success,1,9,8,1,1,50.0
35.0,Success,1,9,6,0,3,50.0
35.0,Success,1,11,5,1,2,60.0
35.0,Success,1,8,6,0,3,45.0
35.0,Success,1,7,5,5,2,40.0
35.0,Success,1,8,7,0,1,45.0
35.0,Success,1,11,7,0,1,60.0
35.0,Success,1,11,6,0,2,60.0
35.0,Success,1,10,7,0,2,55.00000000000001
35.0,Success,1,6,7,2,4,35.0
35.0,Success,1,10,5,0,1,55.00000000000001
35.0,Success,1,9,9,0,1,50.0
